date,source,title,url,region,consumer_segment,sentiment_score,engagement_score,topic
2026-04-13,Barista Magazine Online,4 Cool Things We Saw at World of Coffee San Diego,https://www.baristamagazine.com/4-cool-things-we-saw-at-world-of-coffee-san-diego/?utm_source=rss&utm_medium=rss&utm_campaign=4-cool-things-we-saw-at-world-of-coffee-san-diego,APAC Regional,Convenience Seekers,0.229,65,General Discussion
2026-04-13,Perfect Daily Grind,Specialty coffee is maturing in the Baltics – and becoming more competitive,https://perfectdailygrind.com/2026/04/baltic-specialty-coffee-market/,APAC Regional,Convenience Seekers,0.285,60,Sustainability
2026-04-12,Sprudge Coffee,"To Those About To WoC, We Salute You (With Piping Fresh Coffee From The Sprudge Roaster’s Village)",https://sprudge.com/to-those-about-to-woc-we-salute-you-with-piping-fresh-coffee-from-the-sprudge-roasters-village-893613.html,Malaysia,Quality Focused,0.3,24,General Discussion
2026-04-11,Google News,Brand Kopi Indonesia Kenangan Coffee Ekspansi ke Taiwan - olenka.id,https://news.google.com/rss/articles/CBMihAFBVV95cUxNWWZPZVFaYmNvbkUyempuYjhhOE9jcEU1dXNaNXB1YlVaS0hzeU5mNFpFWnNRZENhWnRuQy1XYnpRQ0lZZzBpMHVGcFZJbmdFR3psRzI3cXNPOFVUU2I5OUNsbkgyU0IxU0pxNGZPak5OOXBvdmFBTHBYMlhSeE1xQ3BxLVk?oc=5,Indonesia,Brand Loyal,0.0,50,General Discussion
2026-04-11,Google News,13 Startup Indonesia & Singapura Masuk Endeavor Outliers 2026: Ada Kopi Kenangan hingga DANA! - Kalteng.co,https://news.google.com/rss/articles/CBMitwFBVV95cUxNekxQTHQ0Ry1yVEJLZGY2RnBxcnJxLURqc29PT2otemZnbTFvNkI5czBpSXUwUVVnNFJoaVFxVTZ4Y1ltaFYzS3k0OVJHalRaTjdZMFlUblFnQ1otdXU0cF9zMXRodXFZN25YWVBQbng1OGpRQ3FfMXhHMWZteXYwTVhJSUJKcW9HVE4ybnpEbTVINUxTQjdzMDNDWGtTM0QwZkV0X1JKblVkcjVVTXBZVmhhMjl3ZXM?oc=5,Indonesia,Brand Loyal,0.0,50,General Discussion
2026-04-10,Perfect Daily Grind,"Coffee News Recap, 10 Apr: Global Coffee Awards Asia to take place in June, StoneX forecasts record 182.5 million bags for 2026/27 global production & other stories",https://perfectdailygrind.com/2026/04/coffee-news-recap-10-april-2026/,APAC Regional,Convenience Seekers,0.116,73,New Openings
2026-04-10,Barista Magazine Online,Coffee Omakase & the Rise of the Experiential Café,https://www.baristamagazine.com/coffee-omakase-and-the-rise-of-the-experiential-cafe/?utm_source=rss&utm_medium=rss&utm_campaign=coffee-omakase-and-the-rise-of-the-experiential-cafe,APAC Regional,Social Drinkers,0.25,70,General Discussion
2026-04-10,Google News,"Endeavor: 13 startup pertumbuhan tinggi 2026, ada ""Kopi Kenangan dan Kredivo"" - ANTARA News Manado",https://news.google.com/rss/articles/CBMiuAFBVV95cUxPZnBvQzFfaTlCN0NhSi1XZnJ6b2E5azJzbDNUMGtKVXpXbk15Y1E0OUd6WVUxTmttZE9vTnlQdldteEtWXzRrYjJlQVl1OGJIQ2lXamU4OGVlQm5qTll0d0ZQWmlFZnNNd3ZoaW9VU25tRk96N1hZOTJpOVJETVNQY1dYOEU0U3lPWTFFV1RGUVpoMVo2QVphWlN4S1hNc3Nub0U3ZkZIZWRORVU1LWVXSkpFbFFBbWwy?oc=5,Indonesia,Convenience Seekers,0.0,50,New Openings
2026-04-10,Sprudge Coffee,Now They’re Adding Creatine To Coffee,https://sprudge.com/now-theyre-adding-creatine-to-coffee-886303.html,APAC Regional,General Consumer,-0.05,18,General Discussion
2026-04-10,Sprudge Coffee,Come Party With Califia Farms All Weekend Long At World Of Coffee San Diego,https://sprudge.com/come-party-with-califia-farms-all-weekend-long-at-world-of-coffee-san-diego-896253.html,APAC Regional,General Consumer,0.225,23,General Discussion
2026-04-10,Google News,Nikmati Kopi Kenangan Lebih Murah dengan Promo Cashback 40 Persen dari BRI - Suara.com,https://news.google.com/rss/articles/CBMiugFBVV95cUxPdVQwNTd4M2RyNHo2bmxteGhvVGVTZE1wUFNqQkE1M3g1QTJXVGpZUEhob2hmazVVLVdVdU1HT2Fxb05famN6TG9UbEhHRk1YY0h2QUZfaWlqRjZHajNqQjBFWEFGM1o5R3FraW84blY5R003NVBBMEFCOTczeHZuZV9yV2FqNEV2b2JzeXVqcVFYcjBpXzNtSE1tMnhJenZhelZ1S3hpbnpIWk53WTJaVEZXQm1heDRXR0E?oc=5,Indonesia,Price Sensitive,0.0,50,Pricing & Promotions
2026-04-09,Google News,"ASIA COFFEE-Vietnam Prices Fall Further, Indonesia Output Seen Dropping - KONTAN",https://news.google.com/rss/articles/CBMipwFBVV95cUxOdFNPOFM2Y0xldzBXNGZDbm05T0J6WnN0REpzcWhOb3dldDVtZmF3ZkRFZ1ZJMGZnRGVSZ21OcEp3cXQ1bUtFaHZyRUhFdGlNSDBlWjhCOC1XT1E0TmQtWXF3eFJMZ3hSZEItbTdXcEtITmotN0JUSEtzdG55dWdpZElOaVFaZTFBSzJOaWtqSmlGN3NQeGJkVG9ueHNGaTlXTFp1Ui1tUdIBogFBVV95cUxQdGF5bnI4X3NWcUlVOThKOGJCRUV6V2k5OXJGTmo4Um9GT2ZhbWRrVWhsS0NIVlFHTXdvU2drQ0ZCZmdLQmw4RVJvMHVSQ0lDLUJ0dVpSQU55Q1R2dTlqMmU5MkM5SUVtQlZ6VHBxd1duc2FTcXJaTktrektEbzVoVnd2am1VYldkTVpGSHc4eHNwUDVKMGUyM0dKcmRJMkc2NlE?oc=5,Indonesia,Price Sensitive,0.0,50,Pricing & Promotions
2026-04-09,Barista Magazine Online,Experience European Coffee Traditions At These 6 New York City Cafés,https://www.baristamagazine.com/experience-european-coffee-traditions-at-these-6-nyc-cafes/?utm_source=rss&utm_medium=rss&utm_campaign=experience-european-coffee-traditions-at-these-6-nyc-cafes,APAC Regional,Social Drinkers,0.18,71,New Openings
2026-04-09,Perfect Daily Grind,PRF El Salvador attracts biggest roaster attendance yet and crowns world’s best roaster,https://perfectdailygrind.com/2026/04/prf-el-salvador-2026-recap/,APAC Regional,Convenience Seekers,0.393,65,General Discussion
2026-04-09,Sprudge Coffee,"ED+U: An Expansive, Free New Coffee Academy By Cafe Imports",https://sprudge.com/edu-an-expansive-free-new-coffee-academy-by-cafe-imports-888626.html,APAC Regional,Social Drinkers,0.268,22,New Openings
2026-04-08,Google News,Kopi Kenangan Gacor! Ekspansi Ke Taiwan - SWA.co.id,https://news.google.com/rss/articles/CBMid0FVX3lxTFBTdEVsMVVKV2pqVHlHNDlzQ1pzQkdCV2wxVmlpa3hMYWpkRVhoSk5seDNXSW02dG0xaVo5V2Mtd1AwYTA0Z0ZEUFRuVlhSTC1FV3Bjd21DUkdNXzE4dXpMT295Q0NmMi1FWXMxQ3NoWDF2NlBldHV3?oc=5,Indonesia,Brand Loyal,0.0,50,General Discussion
2026-04-08,Barista Magazine Online,Grounds for Relief?—New Study Shows Coffee Accounts for Just 1% of Agriculture-Driven Deforestation,https://www.baristamagazine.com/grounds-for-relief-new-study-shows-coffee-accounts-for-just-1-of-agriculture-driven-deforestation/?utm_source=rss&utm_medium=rss&utm_campaign=grounds-for-relief-new-study-shows-coffee-accounts-for-just-1-of-agriculture-driven-deforestation,APAC Regional,Convenience Seekers,0.188,86,New Openings
2026-04-08,Perfect Daily Grind,Are we entering a new era for grinder technology?,https://perfectdailygrind.com/2026/04/new-era-coffee-grinder-technology/,APAC Regional,Quality Focused,0.105,63,New Openings
2026-04-07,Perfect Daily Grind,Coffee businesses have more data than ever – but they’re not using it,https://perfectdailygrind.com/2026/04/coffee-businesses-how-to-use-data/,APAC Regional,Convenience Seekers,0.16,64,General Discussion
2026-04-07,Barista Magazine Online,From Oat to Art: Pouring Beautiful Lattes With Plant Milk,https://www.baristamagazine.com/from-oat-to-art-pouring-beautiful-lattes-with-plant-milk/?utm_source=rss&utm_medium=rss&utm_campaign=from-oat-to-art-pouring-beautiful-lattes-with-plant-milk,APAC Regional,Convenience Seekers,0.417,66,General Discussion
2026-04-06,Perfect Daily Grind,What’s happening at World of Coffee San Diego,https://perfectdailygrind.com/2026/04/whats-happening-at-world-of-coffee-san-diego/,APAC Regional,Quality Focused,0.252,59,Delivery & Apps
2026-04-06,Barista Magazine Online,A Guide to the Liverpool Café Scene,https://www.baristamagazine.com/a-guide-to-the-liverpool-cafe-scene/?utm_source=rss&utm_medium=rss&utm_campaign=a-guide-to-the-liverpool-cafe-scene,Malaysia,Social Drinkers,0.083,59,General Discussion
2026-04-03,Barista Magazine Online,The Insider: Headlines from the Coffee Industry,https://www.baristamagazine.com/the-insider-headlines-from-the-coffee-industry-32/?utm_source=rss&utm_medium=rss&utm_campaign=the-insider-headlines-from-the-coffee-industry-32,APAC Regional,Convenience Seekers,0.295,67,Market Trends
2026-04-03,Perfect Daily Grind,"Coffee News Recap, 3 Apr: Global Coffee Awards MENA announced for June, new CEO named for KDP’s Global Coffee Co & other stories",https://perfectdailygrind.com/2026/04/coffee-news-recap-3-april-2026/,APAC Regional,Convenience Seekers,0.136,66,New Openings
2026-03-24,Google News,Indonesia’s specialty coffee market is thriving - Perfect Daily Grind,https://news.google.com/rss/articles/CBMihgFBVV95cUxQSUhMZ1BERFFvVFJrN2FVQVgxYUlCcWFWV3c5TjZWV3BVeGFmMkRWNU8wYlFDR1JWd09WUVRfZ1BWRVZ4SUhaRElHLVpmdEpjS2dvZlpXT3ItbDRyX082amdQdE9tX182RnlsSTVna203RGY0RXE4cXM2NUhYQmJUdDduQm1Udw?oc=5,Indonesia,Habitual Consumers,0.25,50,Market Trends
2026-03-10,Google News,Arabica Coffee Hits Record High in Sulawesi - Kompas.id,https://news.google.com/rss/articles/CBMijwFBVV95cUxOWWZJcGFHZVhMSGJ4TjVYZ1VEX01Fa09UYXNqMzRWTW1BOXlWMHQ0NWJYV0t4TktZZmpkVWFnRjEzZlJJRkp5QjlGX29hc0ZuQlNyMk5MX0FEZzNsUkhOenlCRkNYMVlXREhZdk13NHFpcXFTQ0pSVFpLUWZScE9peFNqcENDemJhaG9fd3dUNA?oc=5,Singapore,Quality Focused,0.107,50,Sustainability
2026-03-01,Google News,Kopi Kenangan Mojokerto Andalkan Fasilitas dan Harga Ramah Kantong - mojokerto.disway.id - MOJOKERTO DISWAY,https://news.google.com/rss/articles/CBMirgFBVV95cUxPREpnbXYteEppLUtFOWN1eTJtS21NM0F3YkFpclJDNDNxcVgtUHE5a0hXaTNRaW53bWFfT2pidkhfYTB3ekt5ME9Zbm8xcDJ0VkhoZGZFUWw5Y3I5OVJaa2xWaXF0Qk5yVDBzVkpYZXlodERMNXFrWmlPVlQtajBLa1E1STRWRTk2eWdkYmdqbnNfZEpFSjJnSUo3WWFRQWp3MjZMUVBVdTJFejRrN1HSAaYBQVVfeXFMTWVxZkNINXdmSzFMRFNpX3p1OENadkY5X0gxMzhnNGl2Tk5uT2g4V0hQZkFjeUhfbklTOEk1MDlKQ0RObGNJLThJVUltYmQ0cElCTmtYNXRGNUoweUlDaU5kTFVnSjAzaU9aNkVzc0J3OFZCdWhrSW80enhwWkhJS3YxVmlXZU5udWpxZ3FqWVV4ckZTcXZIdnY5cUx5QlI4UEgtWEN3UQ?oc=5,Malaysia,Brand Loyal,0.0,50,General Discussion
2026-02-24,Google News,Kopi Kenangan ungkap kesalahan startup hingga peluang IPO - IDNFinancials.com,https://news.google.com/rss/articles/CBMiowFBVV95cUxQNHNzU0NqNmdvOGpQN2xVQ3NqQmFsVG1rQlJpcjAyMFVLYW9UOFN6NG1nbUY5ZUdZX3ZqekR3VHVYejF6OW9LUGw3XzZzZVhwT0NGcTBudS03LVN5MDd3TER1WmIzLTlwR3B6RXM3bWpsc0RLNnVtbDFVVU9vQndSQ1JKUmd5b1VjREE3VU9DenlkNnluN2pWVjFMdEFJcGJOazVJ?oc=5,Indonesia,Brand Loyal,0.0,50,General Discussion
2026-02-20,Google News,"Global Coffee Belt Heats Up, Prices Soar - Kompas.id",https://news.google.com/rss/articles/CBMifEFVX3lxTE9JM0JwV1J0ZEdtbmJkaDlpTHV2QUw0MU9OQTNzM0hFMmQxYzZaLW5rLVh0VW5RSndIY1ZKbGZia3hHZjhuWDc5NDVha3lnSEZEeEZwdGRmM01WalhNVXRWX19lbFgta3h3SVpnWGRQaWlLTVhZQXZVWWJZb3U?oc=5,Indonesia,Price Sensitive,0.0,50,Pricing & Promotions
2026-02-19,Google News,GrabFood Unveils 5 Food Trends Set to Dominate 2026 - Grab,https://news.google.com/rss/articles/CBMiZkFVX3lxTE1zV3JXZl9JeVhLbnZNVGhkNlIwc1FhM0xmbjczVmlRUW56MVJqVm92UmYxYnczRGNIODVSMXpLLVVWSjdGa2J5WVFKb21BN29vVVFkaC1RaUNVTmw4TUpXcXkxNVlndw?oc=5,Indonesia,Convenience Seekers,0.0,50,Delivery & Apps
2026-02-10,Google News,"Kinerja Melejit, Kopi Kenangan Perkuat Jalan Menuju IPO Oleh Warta Ekonomi - Investing.com Indonesia",https://news.google.com/rss/articles/CBMirwFBVV95cUxNbTFLX3BJT0ZhRFZVV0pqcW95bWhGVlZRUGNfTlJIc3JUWXJfYWUxd1VSYnU1ZFhJMU8yd2VmLWdXVXAtWGlrUnF0dnNsd1NyczU5UTMzbU1oWU5zQ240a1pEQm11QjdCbUc2RXA4VzgzYXRfQ01oZWNmVkdHamJZOG5BY3lleFRoSTZBcTlVcno0Uko3eDZHOGlIbldEbUFKaHRxT3RLYWNRbFFmN3FJ?oc=5,Indonesia,Brand Loyal,0.0,50,General Discussion
2026-02-05,Google News,"Kata Bos Soal Rumor IPO Kopi Kenangan, Benarkah? - Ajaib",https://news.google.com/rss/articles/CBMiiAFBVV95cUxPMFNTeXdrV0w0S3NoSGZxNHlmUXRxQlc2VG1mVWNabHJJcTV4SEs2cnJwdXVlc093V3JsclRrckE2RVBRaVh5cDlrcjVGRGltcjk5S3RBNmZyOURBLTFxZXAxSEgtTHl6ZUxNV2VzM2xKUjZ2aW5DMHQ1M1JkTDdicTJvRXZ6YmZ3?oc=5,Singapore,Brand Loyal,0.0,50,General Discussion
2026-02-04,Google News,Bos Kopi Kenangan Angkat Bicara Soal Peluang IPO - kontan.co.id,https://news.google.com/rss/articles/CBMijAFBVV95cUxNZnBGeUZrR3Q0dHoyMmRWRE8tVjRpOE9xb0FtLUFoUDBEd0h3aG9KTDZZR0x0d1FPTUFaMWxnRFVoQnA2VEFBb3VwS1VGU1pSanZCWkE2M1BwSHBDVnUzdFVoNUFZWUFXNlQ3Sjg1ZVdKWUM3N1V5Ty1jZDdaX3Rwam1TWFNTRXByeFFvbdIBhAFBVV95cUxOS1hkTEYyZU9QZUFUS0doY0ItV3dvOGo1emNmVWhqbmV6UUt4RjhhQ2Rtek1Fc3ZPZWw5SDRFRnpGRk1BZ0dQelpuN1BuaWNOVUxqd2lnWVlselJEZFBDVDRjdVdnSVZqY2FlcHdrYUtsdm1xTmIxbHFJLU90ZXhpWm1haFg?oc=5,Indonesia,Brand Loyal,0.0,50,General Discussion
2026-02-03,Google News,"Kopi Kenangan Raup Laba Rp290 Miliar pada 2025, Bakal IPO? - IDX Channel",https://news.google.com/rss/articles/CBMimwFBVV95cUxOY0JGQjVxTXRuMUtmNnpzSE1BVU5QcmdhaXZuMS1JOXRTdkNtRHlkcThnUld2ZGZpY0hUUUFQTFVIZkpDOGYxOWRpXzM0Y3ctR3pGVFJMazRlbUowY1FXVUxxMjdPdU9zNFIydF9uYnhTS2UyRGdyNmpGa1dMVkgzUGpsVU1vYUpOVDd0Q1pBSU9PQ2QzNXRJbWNnUdIBoAFBVV95cUxPeEp2R1BrSlUxSnIwQ0FuTEZlUklsbndoMUNCcXNNeDQ2RWNjRll6bzRSeGRVeHc4MFR2U0dKcXNaYXFFLU9oTW0ycXlmbzRBR01VY1B4SHo3d1RZUmxOSWZaTE0xc0VvZHVpTDA5bm80TnE1Y0M1TVNGNnloa3ozRWpTZ0hLREFYMUh5X0RKcl93QnZ2SUFFbS1wVUhYRUY4?oc=5,Malaysia,Brand Loyal,0.0,50,General Discussion
2026-02-03,Google News,"Bos Kopi Kenangan Bicara Rencana IPO, Sudah di Tahap Ini - CNBC Indonesia",https://news.google.com/rss/articles/CBMiuAFBVV95cUxNNlN2dWlkWkN0N2c5Z19YUEFEUEVqYk9ZVk5LenpSZGdrQzNvZ1lmX21oSFlNS2RxUkRFY2lZUWhITHFENmthekFndXZKUGpiU2RZa0plNXZYb1BfTFJGZHRSUXJBOW9qOEVSemt3cU0xUGFaaVlWdjJ6Ukl5X1BVeWVTaGlrUUhpUzVBZXBWa2h3YUg1NzBhLXVLaGF6QVh6VTlJMzd4UUVUS2RTdDhQd1ZPMkU3QUhi0gG-AUFVX3lxTFAxbFNRYTR4MHY4aXN6QmdVSXRhSGw4SWY1TjEzTHBaMDBoVUMzTUxmSXdTby02MXVjazNRRThsODRfUHdHWDVxWnhvWHBCQ2J1bkRGNm1SODRmZjR0VVQyRV9MMG94a1FWLUpSSDFRZzdKRzZhSGpCZ1JhU1g2WERnSDFnVVU3eVJnUE9UeDlkMDIwSy1CVnltQjlFTTRtNi1LZXlFZVY2YlF3ODhRTFNhTE5VVUJZUkp0dm9IUGc?oc=5,Indonesia,Brand Loyal,0.0,50,General Discussion
2026-01-21,Google News,Government pushes Indonesia to become global coffee trading hub - IDNFinancials.com,https://news.google.com/rss/articles/CBMipwFBVV95cUxPZDBFQ3FFMklSRGI5YnFDT0ZYTWczMTBBRi1RV2V0c0VSc3lfUUtBemg0NERSOTRtd0JEYzV4UWowTUJOYnNGMmpXMjhDVV85THB1bXN6MkZLT21VSG90RVJ2bzgxb1RFc1RNYUJtdklwOVF4YlN1YnAySmZ5Qm1velg2ZC1nMTVQQU5yZFFhWURMelU3MU5Eb29QYUh4c2RrbXVOaXFwcw?oc=5,Indonesia,General Consumer,0.0,50,Sustainability
2026-01-20,Google News,Indonesia to become global coffee trade hub - TV BRICS,https://news.google.com/rss/articles/CBMifEFVX3lxTE5PTDNmM0FPOUx1OHgzZWhLd2lvbE81X281bUZZaHhHSkhvRUx1cEVhSmpnV2t4WlEzSkJqdHVKRFdGRHRqejhCOG5qZmV3cTdwV1dUWEFjWUlreGZveGg4OUtkdXlFSURRNXZYRlBGaE1RVUZ2OUFGM0l5Zlo?oc=5,Indonesia,General Consumer,0.0,50,Sustainability
2026-01-19,Google News,Indonesia eyes role as global coffee hub - ANTARA News,https://news.google.com/rss/articles/CBMihAFBVV95cUxQa2NZY29uX01yaG9Za2lVdklfN29tbTF5Qmh4ZVVZNTNMUmlEN011c1ZuZkhJb01oemRhZGNwaDVESHRrY1FKTzNhQUZZcndYYU1NbXM0ZHFYOTVVZWlwUEZLemIybkpLSU5sbVpfMHhZa3ZYTEt5UmdHMEsxZlhvb1QwTVLSAYoBQVVfeXFMTnVjYmFBUmlYT3MyNVhlTmVpZDV5dWRXdlF0czhwUXhSU0hpdktreXFHMHdtc1FtRnpSMk1TT2VZSzlDYmlhTkdoSndvblFSWVRCQnZSNHl0WGVQTF9HdjBjWTBPVXQtbEFNMzZxQWs4VDlUWEFQaWVVMVAyd29BM0dGdzFHRXgtalRB?oc=5,Indonesia,Convenience Seekers,0.0,50,New Openings
2026-01-13,Google News,GrabFood Honors Coffeenatics with Bintang 5 Status: A Decade of Elevating Indonesian Specialty Coffee - Grab,https://news.google.com/rss/articles/CBMi0wFBVV95cUxQTzRFM0FoTWdkLVdXOUMtTVg0R2NsRTBZTWtJTy1aUVR4dnFKNWV2cmZDTnFudFk2eU9qUGdSV3dTaUc4anhIUzJ4V1RSei1zUEhRXy1NaDhNeUVickZKNDRiVHBRLWI4Uy1LVHlqZmtkTnJEQ3ZVaXM4S2tiYWtVbXFDSzB3ZTV6ZHkzTTlnRXlZYWZ4NlRUZ05LQ2lOeDMtdUYyMy1OM2tsWlZ0LVFRZWdEcjd4WmxucVRYZm44dkRJWllvQU9kbGROd1RQejhnVzNr?oc=5,Indonesia,Convenience Seekers,0.0,50,Delivery & Apps
2026-01-01,Google News,The Best Coffee In Bali (2026): Our fave brew bars & specialty cafes - Honeycombers,https://news.google.com/rss/articles/CBMiY0FVX3lxTE9QcklOZ1F3Um1yMUt6RFRYbWZFQUQzNnl0ZWJwRGZJYzViMW5IamxtM0RLTVJ3MzFLSFRPem5Xa1kyWkJwcHRjblFlZjNLR2pieUhnQnJfYVpLaEZ4eUVsOV9KYw?oc=5,Indonesia,Quality Focused,0.667,50,General Discussion
2025-12-24,Google News,Coffee Prices See Continued Support from Indonesian Flooding - Barchart.com,https://news.google.com/rss/articles/CBMiqAFBVV95cUxOdUhYeERQYWZUbHpHWFBIYWdvaGFXS0JoTFBEOGFmMEpVTG42QjNjRTlfMHNXMm1XNURaczJ6MElydnRIX1Bham5CVTl2UnVoXzJtLURjcVVMbm56WnJPZ1Ztd2VQQnZqaTFTbGhFZHVjci1QYlFvX055Y3dGWFZRZFBMeXcyazBSYjhSU3FQcEFsck1HbXlRaVN5ZGJJTldaV3phQjJ4dkE?oc=5,Indonesia,Price Sensitive,0.0,50,Pricing & Promotions
2025-12-23,Google News,Coffee Prices See Support from Indonesian Flooding - Yahoo Finance,https://news.google.com/rss/articles/CBMiigFBVV95cUxPVHl4eXBzNU1NZ1QzbGtJQnBlZV9pODlsRWg0Q2l5SkFMeFZmTWFodnYydl9Gdm1kLVN4d2JmZEloS3RONlZyMjZubWRZNm04ZEpialU1VFRRbTZiZ21pNlo3NGFCUjh3T1Z6anE3c083aE4xSjJfZ3VWWmJPUFlSYTlrRnJqZFV1c2c?oc=5,Indonesia,Price Sensitive,0.0,50,Pricing & Promotions
2025-12-08,Google News,Keurig coffee makers are going cheap with delivery in time for Christmas – these are my top picks as a trained barista - TechRadar,https://news.google.com/rss/articles/CBMigAJBVV95cUxOVVhkZmRJVURmMmdwcXY0dEFQMzNZZU5FckxsdXFEaGtkS0lxc19ScTFlZFRVd0luUzA2LVNrN1pNQWI2ZGJ0ZHN4QnZmUHFKUllhQmlZMlpRNXVkNTM4ZGhDdGl4SEp1MDk4NnVLc1RiTDlIUVFwMFV2ZzJjV3A1REt3bzNVR01feXpCaXBEQ3FHN0R3ZG1kYlBVV295X252OG5hSW41WG1icnB0M3ZLUDY3WlFKU2tlUS13Wkl6d2RPUHFZeWR1elc4Tmszb29OLVRyNVFoQWtoR3o4Q2Ewd24tWmg3TWlmSjVoVHBtUFB2VkttbTdkMEgybmh4NG85?oc=5,Malaysia,Convenience Seekers,0.36,50,Pricing & Promotions
2025-12-02,Google News,Indonesia’s rise as a coffee powerhouse - Coffee Intelligence,https://news.google.com/rss/articles/CBMigAFBVV95cUxQS1E4cFFSY3g4SDV4NUd4QnJ0MGVnY3ZTYnlEQ2tKSUQ4V1g5ZjBVQURLUHMwdUJfOVhXNWlPTDNWcXJSWkhYakg5ZFZoUjF2ZXFNcUxXWklXOF9lZ01fajNtUzZ0ZDI1Rk5seDJBdDFORDZWbmVpeG1NaHNUNXRsOA?oc=5,Indonesia,General Consumer,0.0,50,General Discussion
